outlet_id,outlet_name,url,outlet_type,community_id
1,WBFX FM 101.3,http://1013thebrew.iheart.com/,Radio Station,31
2,3ABN,http://3abn.org/,Online Only,31
3,WOLI 910,http://activanetwork.com/greenville/,Radio Station,76
4,Ann Arbor Observer,http://annarborobserver.com/articles/front_page.html,Newspaper/Magazine,3
5,Antioch Herald,http://antiochherald.com/,Online Only,4
6,Beavercreek News Current,http://beavercreeknewscurrent.com/,Newspaper/Magazine,7
7,BevCam,http://bevcam.org/,TV Station,10
8,Bozeman Magazine,http://bozemanmagazine.com/,Newspaper/Magazine,13
9,NA,http://denver.yourhub.com/Thornton,Online Only,85
10,KOBI Channel 5 California Oregon Broadcasting NBC,http://kobi5.com/,TV Station,50
11,WTVW TV 7,http://www.tristatehomepage.com/,TV Station,33
12,Owasso Reporter,http://www.tulsaworld.com/communities/owasso/,Newspaper/Magazine,60
13,KYCR AM 1440,http://www.twincitiesbusinessradio.com/,Radio Station,30
14,KHOT 105.9 FM,http://www.univision.com/arizona/khot,Radio Station,28
15,NA,http://www.univision.com/musica,Radio Station,94
16,WPNR-FM 90.7 Power 90.7 FM,http://www.utica.edu/student/activities/organizations/wpnr/index.cfm,Radio Station,87
17,Observer-Dispatch,http://www.uticaod.com/,Newspaper/Magazine,87
18,Valley Magazine,http://www.valleymagazinepsu.com/,Newspaper/Magazine,80
19,W213AW 90.5 FM,http://www.vcyamerica.org/,Radio Station,15
20,Visalia Times-Delta,http://www.visaliatimesdelta.com/,Newspaper/Magazine,90
21,Local in Ann Arbor,https://localinannarbor.com/,Online Only,3
22,MiBiz,https://mibiz.com/,Newspaper/Magazine,31
23,Aquinas College Saint,https://thesaintaq.com/,Newspaper/Magazine,31
24,Visit Glendale and the West Valley,https://visitglendale.wordpress.com/,Online Only,28
25,West Bend Current,https://westbendcurrent.com/,Online Only,93
26,The Bearvercreek Ohio Buzz,https://www.facebook.com/The-Beavercreek-Ohio-Buzz-219750630759/,Online Only,7
27,Free Talk Radio Live Blog,https://www.freetalklive.com/,Online Only,38
28,Michigan Daily,https://www.michigandaily.com/,Newspaper/Magazine,3
29,Patersonian TAP,https://www.tapinto.net/towns/paterson,Online Only,65
30,KULT-LP FM 94.5,https://www.uni.edu/kult/,Radio Station,14
31,NA,http://1013.iheart.com/,Radio Station,91
32,WONQ AM 1030 Flordia Broadcasters,http://1030lagrande.com/,Radio Station,59
33,WGBF FM 103.1 Rock,http://103gbfrocks.com/,Radio Station,33
34,WQCK-FM1 105.9 105.9/106.9 Lion Country's Rock Station,http://1059qwikrock.com/,Radio Station,80
35,KSTN 105.9,http://1059thebull.com/,Radio Station,81
36,KTGX FM 106.1 Clear Channel,http://1061thetwister.iheart.com/,Radio Station,60
37,NA,http://590kid.com/,Radio Station,70
38,W222AF (WGST) 92.3,http://640wgst.iheart.com/,Radio Station,48
39,WVCC AM 720,http://720thevoice.iheart.com/,Radio Station,58
40,WPAT-FM 93.1 WPAT Licensing,http://931amor.lamusica.com/,Radio Station,65
41,W231DD 94.1 FM (WVIC Lansing rebroadcast),http://941theduke.com/,Radio Station,31
42,K231AA 94.1 FM,http://957theparty.iheart.com/,Radio Station,12
43,WKGL FM 96.7 The Eagle,http://967theeagle.net/,Radio Station,47
44,WDIF Marion's Radio station,http://975wdif.com/,Radio Station,49
45,AdVantage News,http://advantagenews.com/,Online Only,2
46,WZDA FM 103.9,http://altdayton.iheart.com/,Radio Station,7
47,K246CL 97.1 FM,http://amp.cbslocal.com/,Radio Station,5
48,W286AZ (WFOM) (CP) 106.3 and WFOM 1230 AM,http://atlantassportsstation.com/,Radio Station,48
49,WBCT FM 93.7,http://b93.iheart.com/,Radio Station,31
50,NA,http://b945live.com/,Radio Station,80
51,Beavercreek Record,http://beavercreekrecord.com/,Newspaper/Magazine,7
52,Beverly Citizen,http://beverly.wickedlocal.com/,Newspaper/Magazine,10
53,NA,http://big983indy.iheart.com/,Radio Station,67
54,NA,http://bigfrog104.com/,Radio Station,87
55,Bizwest,http://bizwest.com/,Online Only,12
56,The Prodigy - UC Merced  Newspaper,http://blogs.ucmerced.edu/prodigy/,Newspaper/Magazine,52
57,WBLU FM 88.9,http://bluelake.org/radio/index.php,Radio Station,31
58,KLMV-LD TV Salazar,http://buenav.net/,TV Station,43
59,NA,http://byuidahoradio.org/,Radio Station,70
60,BYUI Scroll,http://byuiscroll.org/,Newspaper/Magazine,70
61,La Crosse Catholic Times,http://catholiclife.diolc.org/,Newspaper/Magazine,40
62,Town of Cicero News Wire,http://ciceronewswire.blogspot.com/,Online Only,16
63,Heard in Central Flordia:  CMF Public Media,http://cmfmedia.org/section/hcf/,Online Only,59
64,KJAC FM 105.5,http://coloradosound.org/,Radio Station,12
65,Coppell Student Media,http://coppellstudentmedia.com/,Online Only,17
66,Biddeford Courier,http://courier.mainelymediallc.com/,Newspaper/Magazine,11
67,W227CR 93.3 FM,http://covnetpres.org/,Radio Station,15
68,CU Independent,http://cuindependent.com/,Newspaper/Magazine,12
69,Central Valley Business Journal,http://cvbj.biz/,Newspaper/Magazine,81
70,De Laredo Blog,http://delaredo.blogspot.com/,Online Only,43
71,NA,http://delawarepublic.org/,Radio Station,21
72,Delaware State News and Maryland State News,http://delawarestatenews.net/,Newspaper/Magazine,21
73,NA,http://denversports760.iheart.com/,Radio Station,85
74,East County Today,http://eastcountytoday.net/,Newspaper/Magazine,4
75,WMAX AM 1440,http://espn961.iheart.com/,Radio Station,31
76,NA,http://etvradio.org/#stream/0,Radio Station,71
77,WXMI TV 17,http://fox17online.com/,TV Station,31
78,WCOH AM 1400 Citicasters Licenses,http://foxsports1400.iheart.com/,Radio Station,58
79,NA,http://foxsportstexarkana.com/,Radio Station,NA
80,Free Press Publications,http://fpp.cc/,Online Only,38
81,FPPradioNews,http://fppradio.com/,Radio Station,38
82,Free Keene,http://freekeene.com/,Online Only,38
83,KGVM-LP 95.9,http://gallatincommunityradio.org/,Radio Station,13
84,KJZS-LP 106.3 FM,http://gbcmt.org/services/Radio,Radio Station,13
85,Boulder Magazine,http://getboulder.com/,Newspaper/Magazine,12
86,Glendale Daily Planet,http://glendaledailyplanet.com/,Radio Station,NA
87,Glendora City News,http://glendoracitynews.com/,Online Only,29
88,WGON-LP 103.7,http://graceradioofslidell.net/,Radio Station,75
89,Hey Stamford,http://heystamford.com/,Online Only,79
90,KUTY AM 1470 High Desert,http://highdesertbroadcasting.com/,Radio Station,62
91,K43JD-D Channel 43,http://idahoptv.org/,TV Station,70
92,KWG 1230,http://ihradio.com/,Radio Station,81
93,InMenlo,http://inmenlo.com/,Online Only,51
94,KHKE FM 89.5,http://iowapublicradio.org/,Radio Station,14
95,Journal Gazette & Times Courier,http://jg-tc.com/,Newspaper/Magazine,15
96,Joyce Clark Unfiltered,http://joyceclarkunfiltered.com/,Online Only,28
97,KOEL 98.5 FM,http://k985.com/,Radio Station,14
98,NA,http://katsfm.com/,Radio Station,100
99,KBCO FM 97.3,http://kbco.iheart.com/,Radio Station,12
100,KBOZ-FM 99.9,http://kboz.com/,Radio Station,13
101,K288GY (KCPW) 105.5 Public Media,http://kcpw.org/,Radio Station,34
102,KDHL AM 920,http://kdhlradio.com/,Radio Station,25
103,K278BP KFXN 100.3,http://kfan.iheart.com/,Radio Station,19
104,KHOY FM 88.1 Catholic Communications,http://khoy.org/,Radio Station,43
105,WLIQ 1530 AM,http://kickam1530.com/,Radio Station,69
106,KKYR-FM 102.5 Kicker 102.5,http://kkyr.com/,Radio Station,NA
107,NA,http://kmel.iheart.com/,Radio Station,91
108,KMMS-AM 1450,http://kmmsam.com/,Radio Station,13
109,KMPH-CD Transmit 49,http://kmph-kfre.com/,TV Station,52
110,NA,http://kolu.com/,Radio Station,100
111,KOSY 790 Rejoice Musical Soul Food,http://kosy790am.com/,Radio Station,84
112,KROQ-FM 106.7 CBS Radio,http://kroq.cbslocal.com/,Radio Station,64
113,Keene State College Equinox,http://kscequinox.com/,Newspaper/Magazine,38
114,KTAR FM 92.3,http://ktar.com/,Radio Station,28
115,KTVL Channel 10 CBS,http://ktvl.com/,TV Station,50
116,KTXK 91.5 Fine Arts Radio,http://ktxk.org/,Radio Station,NA
117,KVCB-LP Vacaville Christian Schools (100.9),http://kvcb-online.com/,Radio Station,88
118,KWRN AM 1550,http://kwrn1550am.com/,Radio Station,5
119,NA,http://kygl.com/,Radio Station,84
120,The La Crosse Tribune,http://lacrossetribune.com/,Newspaper/Magazine,40
121,WLEY 107.9 FM,http://laley1079.lamusica.com/,Radio Station,16
122,NA,http://lapreciosa929.iheart.com/,Radio Station,90
123,El Manana/Laredo Sun,http://laredosun.us/,Newspaper/Magazine,43
124,Latino Times,http://latinotimes.org/,Newspaper/Magazine,81
125,Lazo Cultural,http://lazocultural.com/,Newspaper/Magazine,31
126,WJWC-LP,http://life973.com/,Radio Station,31
127,WFIF AM 1500 K.W. Dolmar Religious,http://lifechangingradio.com/wfif/,Radio Station,NA
128,Valley Stream Herald,http://liherald.com/valleystream/,Newspaper/Magazine,89
129,NA,http://lite987.com/,Radio Station,87
130,KITS-FM4,http://live105.cbslocal.com/,Radio Station,91
131,WSNH-LP 103.9,http://loveatthecross.com/,Radio Station,31
132,KGAM FM 106.3 Mapleton License,http://magia1063.com/,Radio Station,52
133,NA,http://mega100fm.iheart.com/,Radio Station,81
134,MGoBlog,http://mgoblog.com/,Online Only,3
135,WVGR FM 104.1,http://michiganradio.org/,Radio Station,31
136,WUOM FM 91.7,http://michiganradio.org/#stream/0,Radio Station,3
137,Milford Living Magazine,http://milfordliving.com/,Newspaper/Magazine,NA
138,K270AB 101.9,http://minnesota.publicradio.org/radio/stations/kzseklse/,Radio Station,96
139,W227CG 93.3 FM,http://miradiopoderosa.com/,Radio Station,31
140,KMMS-FM 95.1,http://mooseradio.com/,TV Station,13
141,KZMY-FM 103.5,http://my1035.com/,Radio Station,13
142,WLHT-FM 95.7,http://mychannel957.com/,Radio Station,31
143,K214DF 90.7 FM,http://myfaithradio.com/,Radio Station,30
144,Native American Netroots,http://nativeamericannetroots.net/,Online Only,3
145,NA,http://new.tabernaculodelafeyakima.org/,2 and 3,100
146,NA,http://newstalkkit.com/,Radio Station,100
147,New West,http://newwest.net/,Online Only,12
148,WEVN FM 90.7 New Hampshire Public Radio,http://nhpr.org/,Radio Station,38
149,KTFD-DTV 14,http://noticias.entravision.com/colorado/,TV Station,NA
150,KLDO-DTV Entravision Holdings 27,http://noticias.entravision.com/laredo/,TV Station,43
151,KYVT 88.5  Northwest Public Radio,http://nwpr.org/,Radio Station,100
152,Onward State,http://onwardstate.com/,Online Only,80
153,Orange Peel Gazette,http://opgazetteinc.com/,Newspaper/Magazine,78
154,KRTA AM 610 Opus,http://opusradio.com/610am/,Radio Station,50
155,KEZX AM 730 Opus,http://opusradio.com/730am/,Radio Station,50
156,Osceola Woman,http://osceolawoman.com/,Newspaper/Magazine,78
157,Ohio State at Marion News,http://osumarion.osu.edu/news/,Online Only,49
158,The Pasadena/San Gabriel Valley Journal,http://pasadenajournal.com/,Newspaper/Magazine,64
159,Pasadena Magazine,http://pasadenamag.com/,Newspaper/Magazine,64
160,Belmont Patch,http://patch.com/california/belmont-ca,Online Only,8
161,Glendora Patch,http://patch.com/california/glendora,Online Only,29
162,Menlo Park-Atherton Patch,http://patch.com/california/menlopark-atherton,Online Only,51
163,Pasadena Patch,http://patch.com/california/pasadena-ca,Online Only,64
164,Milford Patch,http://patch.com/connecticut/milford,Online Only,NA
165,Stamford Patch,http://patch.com/connecticut/stamford,Online Only,79
166,Acworth Patch,http://patch.com/georgia/acworth,Online Only,1
167,Marietta Patch,http://patch.com/georgia/marietta,Online Only,48
168,Woodstock-Towne Lake Patch,http://patch.com/georgia/woodstock,Online Only,98
169,Darien Patch,http://patch.com/illinois/darien-il,Online Only,20
170,Cedar Falls Patch,http://patch.com/iowa/cedarfalls,Online Only,14
171,Beverly Patch,http://patch.com/massachusetts/beverly,Online Only,10
172,Royal Oak Patch,http://patch.com/michigan/royaloak,Online Only,73
173,Golden Valley Patch,http://patch.com/minnesota/goldenvalley,Online Only,30
174,Minnetonka Patch,http://patch.com/minnesota/minnetonka,Online Only,55
175,Woodbury Patch,http://patch.com/minnesota/woodbury,Online Only,97
176,Strongsville Patch,http://patch.com/ohio/strongsville,Online Only,82
177,Sammamish-Issaquah Patch,http://patch.com/washington/sammamish,Online Only,37
178,Paterson Times,http://patersontimes.com/,Newspaper/Magazine,65
179,New Hope-Golden Valley Sun Post,http://post.mnsun.com/new-hope/,Newspaper/Magazine,30
180,KQCL FM 95.9,http://power96radio.com/,Radio Station,25
181,KWSX 1280,http://powertalk1280.iheart.com/,Radio Station,81
182,KFIV Powertalk 1360 AM,http://powertalk1360.iheart.com/,Radio Station,51
183,NA,http://powertalk967.iheart.com/,Radio Station,90
184,K250AZ WTPM FM 97.9 Prayz Network,http://prayznetwork.com/,Radio Station,40
185,Punjab Star News,http://punjabstarnews.com/,Newspaper/Magazine,18
186,KDIS AM 1110 Children's,http://radio.disney.com/,Radio Station,64
187,WTRV-FM,http://rivergrandrapids.com/,Radio Station,31
188,Sun Sailor,http://sailor.mnsun.com/minnetonka/,Newspaper/Magazine,55
189,"Great Lakes, Great Times, Great Scott",http://scottyurb.blogspot.com/,Online Only,31
190,South Portland Sentry,http://sentry.mainelymediallc.com/,Newspaper/Magazine,11
191,Serendipity Magazine,http://serendipitysocial.com/,Newspaper/Magazine,79
192,Serve Daily,http://servedaily.com/,Newspaper/Magazine,77
193,Slidell Independent,http://slidell-independent.com/,Newspaper/Magazine,75
194,NA,http://southsidebaptistrh.org/,Radio Station,71
195,NA,http://spirit889.com/,Radio Station,90
196,Stamford Daily Voice,http://stamford.dailyvoice.com/,Online Only,79
197,Stamford Downtown Events,http://stamforddowntownevents.blogspot.com/,Online Only,79
198,Coppell Gazette,http://starlocalmedia.com/coppellgazette/,Newspaper/Magazine,17
199,The Mesquite News,http://starlocalmedia.com/mesquitenews/,Newspaper/Magazine,53
200,Flower Mound Leader,http://starlocalmedia.com/theleader/,Newspaper/Magazine,26
201,WQUB 90.3,http://stlpublicradio.org/quincy/,Radio Station,69
202,Street Fight,http://streetfightmag.com/,Online Only,12
203,Fault Lines,http://strikeslip.blogspot.com/,Online Only,87
204,WSNI FM 97.7 Sunny 97,http://sunnykeene.com/,Radio Station,38
205,The Tammany West,http://tammanywest.com/,Newspaper/Magazine,75
206,The Antelope Valley Times,http://theavtimes.com/,Online Only,62
207,The Daily Mississipian (The DM Online):  Univ of MS,http://thedmonline.com/,Newspaper/Magazine,61
208,University of Wisconsin-LaCrosse - UWLAX Racquet,http://theracquet.org/,Newspaper/Magazine,40
209,Alton Telegraph,http://thetelegraph.com/,Newspaper/Magazine,2
210,WHRZ LP 104.1,http://thez.com/,Radio Station,76
211,Newnan Times-Herald,http://times-herald.com/,Newspaper/Magazine,58
212,The Newnan-Coweta Magazine,http://times-herald.com/magazine,Newspaper/Magazine,58
213,WNWZ 1410 AM,http://touch1410.com/,Radio Station,31
214,KDIZ AM 1570,http://twincitieswellnessradio.com/,Radio Station,30
215,TXKtoday,http://txktoday.com/,Online Only,NA
216,Utica Phoenix,http://uticaphoenix.net/,Newspaper/Magazine,87
217,Vacuum weblog for Edward Vielmetti,http://vielmetti.github.io/,Online Only,3
218,WFTD 1080 AM Viet Song Media,http://vietsongmedia.com/,Radio Station,48
219,Voices of Central Pennsylvania,http://voicesweb.org/,Newspaper/Magazine,80
220,WZGL FM 88.1,http://wbgl.org/,Radio Station,22
221,W277AH 103.3 FM,http://wceiradio.com/,Radio Station,21
222,Waterloo Cedar Falls Courier,http://wcfcourier.com/,Newspaper/Magazine,14
223,WCOE FM 96.7 Country,http://wcoefm.com/,Radio Station,41
224,WCYY FM 94.3,http://wcyy.com/,Radio Station,11
225,NA,http://wdov.iheart.com/,Radio Station,21
226,WDSD FM 94.7,http://wdsd.iheart.com/,Radio Station,21
227,NA,http://welw.com/,Radio Station,95
228,WSRW FM 105.7,http://westmichiganstar.iheart.com/,Radio Station,31
229,WFGR FM 98.7,http://wfgr.com/,Radio Station,31
230,WGIN 1400 AM,http://wgan.com/,Radio Station,11
231,NA,http://wgrc.com/,Radio Station,80
232,WGRD-FM 97.9,http://wgrd.com/,Radio Station,31
233,WGVU AM 1480,http://wgvu2.org/realoldies/,Radio Station,31
234,WIBX 950,http://wibx950.com/,Radio Station,87
235,W42DG-D Channel 42,http://wjactv.com/,TV Station,80
236,NA,http://wjti1640.com,Radio Station,92
237,WZBK AM 1290;,http://wkbkradio.com/,Radio Station,38
238,WKDQ FM 99.5 Country Music,http://wkdq.com/,Radio Station,33
239,w256BJ FM 99.1 Classic Hits,http://wkne.com/,Radio Station,38
240,WKUE FM 90.9,http://wkyufm.org/,Radio Station,23
241,W36BE-D Channel 36,http://wnep.com/,Radio Station,80
242,WEDW-FM 88.5,http://wnpr.org/,Radio Station,79
243,WOOD AM 1300,http://woodradio.iheart.com/,Radio Station,31
244,WOOD TV 8,http://woodtv.com/,TV Station,31
245,WNEA AM 1300 Word Christian,http://wordchristianbroadcasting.com/wnea/,Radio Station,58
246,WOSB The Ohio State University,http://wosu.org/,Radio Station,49
247,WOTV TV 4,http://wotv4women.com/,TV Station,31
248,NA,http://wour.com/,Radio Station,87
249,NA,http://wpsu.org/,Radio Station,80
250,WHLA-TV 31 State of WI - Ed Comm. Board,http://wpt.org/,TV Station,40
251,WQIN LP 102.9,http://wqinfm.org/,Radio Station,69
252,WQJC LP 107.9,http://wqjcfm.myfreesites.net/,Radio Station,69
253,WRLL AM 1450,http://wrll1450.com/,Radio Station,16
254,WRTX FM 91.7,http://wrti.org/,Radio Station,21
255,W245 96.9 FM,http://wsbrradio.com/,Radio Station,44
256,WSTC 1400,http://wshu.org/,Radio Station,79
257,WSLA 1560 Talk Radio,http://wslaradio.com/,Radio Station,75
258,WSON AM 860 and w243CU FM (WSON) 96.5,http://wsonradio.com/,Radio Station,33
259,WSPA TV Channel 7,http://wspa.com/,TV Station,76
260,WTKG AM 1230,http://wtkg.iheart.com/,Radio Station,31
261,NA,http://wtlr.org/,Radio Station,80
262,NA,http://wvik.org/#stream/0,Radio Station,72
263,WWGH - Marion's LP Radio Station,http://wwgh1071.com/2016/,Radio Station,49
264,K257FY 101.7 Hot FM,http://www.1017hotfm.com/,Radio Station,NA
265,WXOS 101.1 FM,http://www.101sports.com/,Radio Station,22
266,WBUZ 102.9 The Buzz,http://www.1029thebuzz.com/,Radio Station,42
267,KXDD 104.1 12 in a Row Country,http://www.1041kxdd.com/,Radio Station,100
268,WSFS FM 104.3 Entercom Miami,http://www.1043theshark.com/,Radio Station,56
269,W288BN FM 105.5 WYRY  Country,http://www.1049nashiconradio.com/,Radio Station,38
270,KIFS 107.5 FM KISS,http://www.107kiss.com/,Radio Station,50
271,WLBY AM 1290,http://www.1290wlby.com/,Radio Station,3
272,WJRW AM 1340,http://www.1340wjrw.com/,Radio Station,31
273,WIZM-FM  92.3,http://www.1410wizm.com/,Radio Station,40
274,KUTI 1460 ESPN Yakima,http://www.1460espnyakima.com/,Radio Station,100
275,KYOS AM 1480 Mapleton License,http://www.1480kyos.com/,Radio Station,52
276,KLNT AM 1490,http://www.1490therodeo.com/,Radio Station,43
277,W281AU FM 104.1 WZBK,http://www.1490wkvt.com/,Radio Station,38
278,WLFN AM 1490 Today's Talk 1490,http://www.1490wlfn.com/,Radio Station,40
279,KCNZ AM 1650,http://www.1650thefan.com/,Radio Station,14
280,Boulder 50 Plus Marketplace News,http://www.50plusmarketplacenews.com/,Online Only,12
281,WKTY AM 580 Family Radio,http://www.580wkty.com/,Radio Station,40
282,W288CJ FM 105.5 Penn. Media Associates,http://www.660theanswer.com/,Radio Station,59
283,KTIQ AM 1660 Mapleton License/105.7 The Bear,http://www.925thebear.com/,Radio Station,52
284,KWOF 101.7 FM,http://www.925thewolf.com/,Radio Station,12
285,KQRS-FM 92.5,http://www.92kqrs.com/,Radio Station,30
286,W265AV 100.9 The Bull,http://www.949thebull.com/,Radio Station,98
287,KGMZ-FM1 95.7 The Game,http://www.957thegame.com/,Radio Station,91
288,WRQT FM 95.7 Rock Station,http://www.957therock.com/,Radio Station,40
289,KXPK 96.5 FM,http://www.965tricolor.com/,Radio Station,12
290,KABX-FM 97.5 Mapleton License,http://www.975kabx.com/,Radio Station,52
291,WJTI 1460,http://www.979radio.com/,Radio Station,92
292,WVOK-FM 97.9 East Alabama's Fav. Music,http://www.979wvok.com/,Radio Station,61
293,W252DG 98.3 FM (WLCS rebroadcast),http://www.983wlcs.com/,Radio Station,31
294,KTAL-FM 98.1 98 Rocks - Home of Rock 'n' Roll,http://www.98rocks.fm/,Radio Station,NA
295,KJOY 99.3,http://www.993kjoy.com/,Radio Station,81
296,KMVQ-FM3 99.7 Now,http://www.997now.com/,Radio Station,91
297,A2Politico,http://www.a2politico.com/,Online Only,3
298,KWYB-TV 19,http://www.abcfoxmontana.com/,TV Station,13
299,K214DN 90.7 Air 1,http://www.air1.com/,Radio Station,100
300,The Almanac,http://www.almanacnews.com/,Newspaper/Magazine,51
301,Alton Daily News,http://www.altondailynews.com/,Online Only,2
302,KAZN AM 1300 Asian,http://www.am1300.com/,Radio Station,64
303,Ann Arbor Business Review Magazine,http://www.annarborbusinessmagazine.com/,Newspaper/Magazine,3
304,WQKL FM 107.1,http://www.annarbors107one.com/,Radio Station,3
305,Apple Valley Review,http://www.applevalley-review.com/,Online Only,5
306,KTAL-TV Channel 15,http://www.arklatexhomepage.com/,TV Station,NA
307,Arroyo:  Fine Living in the Greater Pasadena Area,http://www.arroyomonthly.com/,Newspaper/Magazine,64
308,Antelope Valley Press,http://www.avpress.com/,Newspaper/Magazine,62
309,Bay City Democrat and the Bay County Legal News,http://www.bclegalnews.com/,Newspaper/Magazine,6
310,K23EX-D Better Life TV Transmit 23,http://www.betterlifetv.tv/,TV Station,50
311,KRRG FM 98.1 Encarnacion A. Guerra,http://www.bigbuck98.com/,Radio Station,43
312,KBFR FB 95.3,http://www.boulderfreeradio.org/,Radio Station,12
313,Boulder Weekly,http://www.boulderweekly.com/,Newspaper/Magazine,12
314,Bozeman Magpie,http://www.bozeman-magpie.com/,Online Only,13
315,Bozeman Daily Chronicle,http://www.bozemandailychronicle.com/,Newspaper/Magazine,13
316,The Bright Side:  Marietta and Power Springs Community Newspaper,http://www.brightsidenews.com/marpsnews.html,Newspaper/Magazine,48
317,KGDM-LP FM 105.3 Calvary Chapel,http://www.calvarychapelmerced.org/info.htm,Radio Station,52
318,Calvin College Chimes,http://www.calvin.edu/chimes/,Newspaper/Magazine,31
319,K244DV FM 96.7 and,http://www.capradio.org/,Radio Station,52
320,Caravan News,http://www.caravannews.com/,Online Only,81
321,WIHW-LP 96.1,http://www.cbcofdover.com/,Radio Station,21
322,NA,http://www.ccyakimavalley.com/the-bridge-of-hope/,Radio Station,100
323,KAMB FM 101.5 Celebration Radio,http://www.celebrationradio.com/,Radio Station,52
324,Centre Daily Times,http://www.centredaily.com/,Newspaper/Magazine,80
325,Elm Leaves,http://www.chicagotribune.com/suburbs/elmwood-park/,Newspaper/Magazine,24
326,WFXV Channel 27,http://www.cnyhomepage.com/,TV Station,87
327,WOCB-CD Central Ohio Association of Christian Broadcasters,http://www.coacb.org/,TV Station,49
328,Daily Collegian,http://www.collegian.psu.edu/,Newspaper/Magazine,80
329,Colorado Daily,http://www.coloradodaily.com/,Newspaper/Magazine,12
330,Contra Costa Times,http://www.contracostatimes.com/,Newspaper/Magazine,91
331,Coppell Citizens Advocate,http://www.coppellcitizensadvocate.com/,Newspaper/Magazine,17
332,Cottonwood-Holladay Journal,http://www.cottonwoodholladayjournal.com/,Newspaper/Magazine,34
333,Coulee Parenting Connection,http://www.cpclax.com/,Newspaper/Magazine,40
334,KCFC AM 1490,http://www.cpr.org/,Radio Station,12
335,KVOQ 102.3 FM,http://www.cpr.org/openair,Radio Station,12
336,K48MN-D TV 12,http://www.cpt12.org/,TV Station,12
337,The Cross Timbers Gazette,http://www.crosstimbersgazette.com/,Newspaper/Magazine,26
338,K268AS 101.5 FM,http://www.csnradio.com/,Radio Station,100
